Dataset_Size,Method,Avg_Time_ms,Std_Dev,Min_ms,Max_ms,Median_ms,CPU_%,95th_Percentile
100,sequential,0.0037900000461377203,0.0022721196446202183,0.001500011421740055,0.020800012862309813,0.003349996404722333,0.0,0.006494992703665048
100,direct,0.002694999857340008,0.0019196156635408472,0.001400010660290718,0.01889999839477241,0.002400018274784088,0.0,0.005050009349361062
100,binary,0.0041869995766319335,0.005233971359180164,0.0016999838408082724,0.04019998596049845,0.0026999914553016424,0.0,0.01123999827541411
100,cached,0.0011219980660825968,0.001245238846810309,0.000300002284348011,0.010899995686486363,0.000800006091594696,0.0,0.00317999511025846
1000,sequential,0.03085700038354844,0.019047740523882032,0.0031999952625483274,0.10309999925084412,0.02749999111983925,0.0,0.059559989313129336
1000,direct,0.0028849986847490072,0.005811314170330456,0.001400010660290718,0.059699988923966885,0.00200001522898674,0.0,0.0037949997931718826
1000,binary,0.014220001467037946,0.015170712431921309,0.00300002284348011,0.11799999629147351,0.008749993867240846,6.853,0.040125014493241906
1000,cached,0.0011619995348155499,0.0008709416936400862,0.000500003807246685,0.005600013537332416,0.0008999923011288047,0.0,0.0027699919883161783
5000,sequential,0.15918299817712978,0.5368373684211522,0.0032999960239976645,5.435700004454702,0.11094998626504093,57.3185,0.2406000014161691
5000,direct,0.0029650022042915225,0.0030967027758570303,0.001500011421740055,0.03090000245720148,0.0024999899324029684,0.0,0.004690006608143449
5000,binary,0.005189999064896256,0.003010502000268225,0.0025999906938523054,0.028999987989664078,0.0046000059228390455,0.0,0.007889974222052842
5000,cached,0.001756999990902841,0.0021914557476647887,0.0004999747034162283,0.014699995517730713,0.0010999792721122503,0.0,0.006215016765054315
10000,sequential,0.25189699954353273,0.48090605327699065,0.0023999891709536314,4.458299983525649,0.16899999172892421,14.812,0.705870013916865
10000,direct,0.0020430012955330312,0.0007383101376104641,0.001400010660290718,0.007800001185387373,0.001800013706088066,0.0,0.0029999937396496534
10000,binary,0.0047310005174949765,0.0016787249225709395,0.0020999868866056204,0.018399994587525725,0.0045000051613897085,0.0,0.006399990525096655
10000,cached,0.002427997824270278,0.0026217443123075783,0.000500003807246685,0.016200006939470768,0.0014499964891001582,190.085,0.008569979399908334
25000,sequential,0.6417709996458143,0.5035597275710537,0.007299997378140688,3.1869000231381506,0.5838500073878095,52.6055,1.7791999969631433
25000,direct,0.002589999930933118,0.0011683962505259617,0.0014999823179095984,0.008500006515532732,0.0021999876480549574,0.0,0.005390011938288808
25000,binary,0.006403998704627156,0.001867473885905221,0.0034999975468963385,0.01889999839477241,0.006200018106028438,168.01049999999998,0.00918501173146069
25000,cached,0.001671000209171325,0.0010429469401689625,0.0005999754648655653,0.006199989002197981,0.001300009898841381,0.0,0.00436497648479417
50000,sequential,1.2155110022285953,0.9984699367004695,0.02720000338740647,5.150800017872825,1.1394499888410792,70.525,3.4377900228719227
50000,direct,0.0022589994478039443,0.0008441219987512871,0.0015999830793589354,0.007700000423938036,0.0020999868866056204,0.0,0.0036649988032877445
50000,binary,0.0067499998840503395,0.0020856175105497163,0.0037999998312443495,0.020000006770715117,0.00650000583846122,0.0,0.009575014701113105
50000,cached,0.0022879993775859475,0.0025866494164543904,0.0006999762263149023,0.023699976736679673,0.0016999983927235007,0.0,0.005879988020751625
